#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	575	0.050	523
0.076	576	0.100	524
0.126	574	0.152	523
0.177	579	0.202	523
0.227	574	0.253	523
0.279	572	0.303	524
0.329	580	0.354	523
0.380	574	0.405	521
0.430	579	0.456	524
0.481	571	0.506	523
0.532	578	0.557	522
0.583	575	0.607	523
0.633	577	0.659	521
0.684	573	0.709	522
0.734	574	0.760	520
0.786	574	0.810	523
0.836	575	0.861	523
0.887	577	0.911	524
0.937	572	0.963	524
0.988	579	1.014	523
1.038	565	1.064	522
1.090	577	1.115	523
1.140	571	1.165	524
1.191	573	1.217	523
1.241	563	1.267	523
1.292	547	1.318	523
1.343	521	1.368	523
1.394	491	1.419	522
1.444	457	1.470	523
1.495	420	1.521	521
1.545	385	1.571	522
1.597	347	1.622	521
1.647	316	1.672	519
1.698	288	1.724	518
1.748	267	1.774	515
1.799	254	1.825	511
1.849	249	1.875	511
1.901	252	1.926	508
1.951	263	1.976	506
2.002	283	2.028	504
2.052	309	2.078	502
2.103	340	2.129	503
2.154	375	2.179	502
2.205	410	2.230	501
2.255	448	2.281	505
2.306	482	2.332	506
2.356	513	2.382	509
2.408	540	2.433	513
2.458	557	2.483	517
2.509	567	2.535	522
2.559	570	2.585	528
2.610	564	2.636	530
2.660	550	2.686	533
2.712	529	2.737	537
2.762	502	2.787	539
2.813	469	2.839	540
2.863	434	2.889	540
2.914	397	2.940	538
2.965	362	2.990	536
3.016	330	3.041	532
3.066	302	3.092	527
3.117	279	3.143	523
3.167	264	3.193	517
3.219	257	3.244	511
3.269	256	3.294	504
3.320	265	3.346	497
3.370	280	3.396	494
3.421	303	3.447	489
3.471	331	3.497	487
3.523	364	3.548	486
3.573	397	3.598	487
3.624	433	3.650	488
3.674	468	3.700	491
3.725	498	3.751	497
3.776	524	3.801	503
3.827	544	3.852	509
3.878	557	3.903	517
3.928	562	3.954	526
3.979	559	4.004	532
4.030	549	4.055	541
4.081	531	4.105	547
4.131	508	4.157	552
4.182	479	4.207	556
4.232	447	4.258	556
4.284	413	4.308	555
4.334	377	4.359	553
4.385	346	4.409	548
4.435	317	4.461	542
4.486	293	4.511	534
4.536	276	4.562	523
4.588	266	4.612	515
4.638	262	4.663	505
4.689	267	4.714	495
4.739	280	4.765	487
4.790	299	4.815	478
4.841	323	4.866	473
4.892	352	4.916	469
4.942	385	4.968	469
4.993	418	5.018	470
5.043	452	5.069	475
5.095	481	5.119	481
5.145	510	5.170	490
5.196	531	5.220	500
5.246	545	5.272	511
5.297	553	5.322	523
5.347	554	5.373	535
5.399	546	5.423	546
5.449	533	5.474	555
5.500	513	5.525	564
5.550	486	5.576	568
5.601	458	5.626	569
5.652	426	5.677	571
5.703	392	5.727	569
5.753	360	5.779	564
5.804	334	5.829	555
5.854	308	5.880	545
5.906	288	5.930	533
5.956	278	5.981	521
6.007	272	6.031	507
6.057	273	6.083	494
6.108	283	6.133	481
6.158	298	6.184	472
6.210	319	6.234	463
6.260	345	6.285	457
6.311	376	6.336	455
6.361	405	6.387	456
6.412	437	6.437	460
6.463	466	6.488	467
6.514	493	6.538	477
6.564	515	6.590	488
6.615	532	6.640	503
6.665	540	6.691	517
6.717	544	6.741	533
6.767	541	6.792	547
6.818	530	6.842	559
6.868	513	6.894	571
6.919	491	6.945	579
6.969	465	6.995	583
7.021	436	7.046	586
7.071	406	7.096	584
7.122	378	7.148	578
7.172	349	7.198	570
7.223	325	7.249	559
7.274	304	7.299	545
7.325	292	7.350	528
7.375	284	7.401	513
7.426	283	7.452	495
7.476	288	7.502	480
7.528	300	7.553	466
7.578	318	7.603	455
7.629	340	7.655	446
7.679	364	7.705	441
7.730	394	7.756	441
7.780	423	7.806	445
7.832	451	7.857	451
7.882	476	7.907	461
7.933	498	7.959	475
7.983	515	8.009	491
8.034	527	8.060	509
8.085	533	8.110	527
8.136	532	8.161	544
8.186	524	8.212	562
8.237	512	8.263	576
8.287	492	8.313	587
8.339	471	8.364	595
8.389	445	8.414	599
8.440	418	8.466	598
8.490	390	8.516	593
8.541	364	8.567	584
8.591	341	8.617	572
8.643	321	8.668	557
8.693	307	8.718	539
8.744	298	8.770	519
8.794	294	8.820	500
8.845	298	8.871	481
8.896	306	8.921	464
8.947	320	8.972	450
8.997	339	9.023	438
9.048	361	9.074	432
9.098	386	9.124	429
9.150	411	9.175	432
9.200	438	9.225	437
9.251	460	9.277	447
9.301	482	9.327	463
9.352	498	9.378	480
9.402	511	9.428	500
9.454	519	9.479	520
9.504	520	9.529	540
9.555	516	9.581	558
9.605	506	9.631	577
9.656	491	9.682	591
9.707	473	9.732	602
9.758	450	9.783	608
9.808	426	9.834	608
9.859	403	9.885	606
9.909	379	9.935	598
9.961	357	9.986	586
10.011	338	10.036	569
10.062	323	10.088	551
10.112	312	10.138	529
10.163	309	10.189	506
10.214	309	10.239	484
10.265	315	10.290	466
10.315	327	10.340	449
10.366	338	10.392	433
10.416	359	10.442	424
10.467	379	10.493	419
10.518	402	10.543	420
10.569	425	10.594	424
10.619	446	10.645	435
10.670	466	10.696	449
10.720	482	10.746	466
10.772	495	10.797	489
10.822	503	10.847	511
10.873	506	10.899	533
10.923	504	10.949	556
10.974	499	11.000	576
11.025	485	11.050	593
11.076	472	11.101	606
11.126	453	11.151	615
11.177	433	11.203	618
11.227	412	11.253	617
11.278	391	11.304	610
11.329	372	11.354	597
11.380	355	11.405	581
11.431	341	11.456	562
11.481	330	11.507	539
11.532	324	11.557	515
11.583	322	11.608	491
11.634	326	11.658	469
11.684	334	11.710	448
11.735	345	11.760	432
11.785	359	11.811	419
11.837	377	11.861	411
11.887	395	11.912	411
11.938	414	11.962	413
11.988	434	12.014	423
12.039	451	12.064	438
12.089	466	12.115	456
12.141	477	12.165	477
12.191	486	12.216	501
12.242	491	12.267	526
12.292	491	12.318	550
12.343	487	12.368	574
12.394	478	12.419	593
12.445	467	12.469	607
12.495	454	12.521	620
12.546	437	12.571	626
12.596	420	12.622	624
12.648	402	12.672	620
12.698	384	12.723	608
12.749	370	12.774	593
12.799	357	12.825	573
12.850	348	12.875	551
12.900	341	12.926	525
12.952	338	12.976	500
13.002	339	13.027	475
13.053	344	13.078	452
13.103	352	13.129	433
13.154	363	13.179	418
13.205	376	13.230	408
13.256	392	13.280	403
13.306	407	13.332	406
13.357	422	13.382	413
13.407	437	13.433	426
13.459	450	13.483	444
13.509	461	13.534	466
13.560	469	13.585	490
13.610	474	13.636	516
13.661	476	13.686	542
13.711	474	13.737	567
13.763	468	13.787	590
13.813	460	13.838	607
13.864	450	13.889	621
13.914	437	13.940	629
13.965	425	13.990	632
14.016	410	14.041	627
14.067	396	14.091	618
14.117	384	14.143	604
14.168	373	14.193	585
14.218	364	14.244	562
14.270	358	14.294	537
14.320	353	14.345	509
14.371	354	14.396	482
14.421	356	14.447	457
14.472	361	14.498	437
14.522	368	14.548	419
14.574	379	14.599	406
14.624	390	14.649	400
14.675	402	14.701	400
14.725	414	14.751	406
14.776	426	14.802	416
14.827	436	14.852	434
14.878	446	14.903	454
14.928	453	14.954	479
14.979	457	15.005	506
15.029	459	15.055	533
15.081	460	15.106	560
15.131	457	15.156	583
15.182	450	15.208	604
15.232	445	15.258	620
15.283	436	15.309	630
15.334	426	15.359	634
15.385	415	15.410	634
15.435	405	15.460	627
15.486	396	15.512	612
15.536	387	15.562	594
15.587	381	15.613	572
15.638	375	15.663	547
15.689	371	15.714	519
15.739	370	15.765	493
15.790	371	15.816	466
15.840	374	15.866	443
15.892	379	15.917	423
15.942	385	15.967	408
15.993	392	16.019	400
16.043	400	16.069	397
16.094	408	16.120	398
16.145	416	16.170	409
16.196	425	16.221	424
16.246	432	16.271	445
16.297	436	16.323	468
16.347	440	16.373	495
16.398	443	16.424	523
16.449	443	16.474	549
16.500	443	16.525	574
16.550	440	16.576	598
16.601	436	16.627	617
16.651	430	16.677	627
16.703	425	16.728	634
16.753	418	16.778	636
16.804	412	16.830	631
16.854	405	16.880	619
16.905	399	16.931	601
16.956	395	16.981	582
17.007	392	17.032	557
17.057	389	17.082	530
17.108	386	17.134	502
17.158	386	17.184	474
17.209	387	17.235	450
17.260	389	17.285	430
17.311	392	17.336	412
17.361	396	17.387	400
17.412	401	17.438	396
17.462	404	17.488	397
17.514	410	17.539	404
17.564	414	17.589	418
17.615	418	17.641	436
17.665	422	17.691	459
17.716	424	17.742	484
17.767	427	17.792	512
17.818	427	17.843	540
17.868	427	17.894	566
17.919	426	17.945	590
17.969	425	17.995	608
18.020	422	18.046	623
18.071	420	18.096	634
18.122	417	18.147	637
18.173	414	18.198	634
18.223	412	18.249	623
18.274	409	18.299	609
18.325	407	18.350	591
18.376	406	18.400	567
18.426	402	18.452	541
18.477	403	18.502	513
18.527	402	18.553	485
18.579	402	18.603	459
18.629	402	18.654	437
18.680	403	18.705	419
18.730	405	18.756	407
18.781	404	18.806	398
18.831	406	18.857	397
18.883	406	18.907	402
18.933	408	18.958	414
18.984	409	19.009	430
19.034	410	19.060	451
19.085	410	19.110	475
19.136	412	19.161	502
19.187	411	19.211	529
19.237	411	19.263	555
19.288	413	19.313	580
19.338	412	19.364	602
19.390	413	19.414	617
19.440	414	19.465	628
19.491	414	19.516	634
19.541	414	19.567	633
19.592	416	19.617	625
19.642	416	19.668	612
19.694	416	19.718	596
19.744	416	19.769	574
19.795	416	19.820	549
19.845	416	19.871	523
19.896	416	19.921	496
19.947	416	19.972	471
19.998	415	20.022	448
20.048	413	20.074	428
20.099	411	20.124	413
20.149	410	20.175	403
20.201	407	20.225	401
20.251	406	20.276	403
20.302	403	20.327	411
20.352	401	20.378	425
20.403	401	20.428	444
20.454	399	20.479	467
20.505	398	20.529	492
20.555	398	20.580	519
20.606	400	20.631	545
20.656	400	20.682	570
20.707	402	20.732	591
20.758	404	20.783	609
20.809	407	20.833	623
20.859	410	20.885	629
20.910	414	20.935	630
20.960	417	20.986	625
21.012	420	21.036	616
21.062	424	21.087	600
21.113	426	21.138	580
21.163	428	21.189	558
21.214	428	21.240	533
21.265	429	21.290	506
21.316	427	21.341	481
21.366	426	21.391	457
21.417	423	21.443	437
21.467	419	21.493	421
21.518	415	21.544	410
21.569	410	21.594	406
21.620	406	21.645	405
21.670	401	21.696	412
21.721	394	21.747	423
21.771	393	21.797	440
21.823	389	21.848	461
21.873	387	21.898	485
21.924	386	21.950	510
21.974	387	22.000	535
22.025	388	22.051	559
22.076	390	22.101	580
22.127	395	22.152	599
22.177	399	22.202	614
22.228	405	22.254	622
22.278	411	22.304	625
22.329	417	22.355	624
22.380	424	22.405	615
22.431	427	22.456	603
22.481	434	22.507	585
22.532	438	22.558	564
22.582	440	22.608	542
22.634	442	22.659	517
22.684	440	22.709	491
22.735	437	22.761	468
22.785	434	22.811	449
22.836	428	22.862	432
22.887	422	22.912	419
22.938	416	22.963	411
22.988	407	23.014	411
23.039	400	23.065	415
23.089	392	23.115	424
23.140	386	23.166	438
23.191	381	23.216	455
23.242	377	23.267	477
23.292	374	23.318	502
23.343	374	23.369	525
23.393	375	23.419	548
23.445	379	23.470	570
23.495	384	23.520	588
23.546	391	23.572	603
23.596	398	23.622	615
23.647	406	23.673	617
23.698	415	23.723	618
23.749	424	23.774	612
23.799	433	23.825	602
23.850	439	23.876	587
23.900	445	23.926	569
23.951	449	23.977	547
24.002	452	24.027	526
24.053	450	24.078	503
24.103	448	24.129	479
24.154	444	24.180	458
24.204	437	24.230	442
24.256	430	24.281	429
24.306	421	24.331	420
24.357	411	24.383	417
24.407	400	24.433	419
24.458	393	24.484	426
24.509	382	24.534	439
24.560	374	24.585	454
24.610	369	24.636	472
24.661	366	24.687	493
24.711	364	24.737	516
24.762	364	24.788	538
24.813	368	24.838	558
24.864	373	24.889	576
24.914	381	24.940	592
24.965	389	24.991	603
25.015	400	25.041	610
25.067	412	25.092	611
25.117	422	25.142	608
25.168	433	25.194	600
25.218	443	25.244	587
25.269	450	25.295	571
25.320	456	25.345	552
25.371	460	25.396	532
25.421	461	25.447	510
25.472	460	25.498	492
25.522	455	25.548	471
25.574	448	25.599	454
25.624	439	25.649	440
25.675	429	25.700	431
25.725	418	25.751	427
25.776	405	25.802	427
25.826	393	25.852	431
25.878	383	25.903	440
25.928	372	25.953	453
25.979	363	26.005	469
26.029	357	26.055	489
26.080	354	26.106	509
26.131	354	26.156	529
26.182	357	26.207	548
26.232	363	26.258	566
26.283	371	26.309	580
26.333	381	26.359	591
26.385	393	26.410	599
26.435	407	26.460	602
26.486	420	26.511	602
26.536	432	26.562	596
26.587	444	26.613	586
26.637	455	26.663	572
26.689	463	26.714	556
26.739	468	26.764	538
26.790	471	26.816	520
26.840	469	26.866	500
26.891	465	26.917	482
26.942	458	26.967	466
26.993	450	27.018	452
27.043	437	27.069	442
27.094	424	27.120	438
27.144	409	27.170	434
27.196	396	27.221	438
27.246	383	27.271	445
27.297	369	27.322	455
27.347	360	27.373	469
27.398	352	27.424	484
27.448	347	27.474	502
27.500	346	27.525	519
27.550	347	27.575	539
27.601	353	27.627	555
27.651	361	27.677	569
27.702	372	27.728	581
27.753	385	27.778	589
27.804	400	27.829	592
27.854	415	27.880	593
27.905	430	27.931	589
27.955	444	27.981	581
28.007	455	28.032	571
28.057	466	28.082	558
28.108	473	28.134	543
28.158	477	28.184	525
28.209	478	28.235	510
28.259	474	28.285	491
28.311	468	28.336	477
28.361	459	28.386	464
28.412	446	28.438	455
28.462	433	28.488	448
28.513	416	28.539	445
28.564	400	28.589	446
28.615	385	28.640	451
28.665	370	28.691	460
28.716	358	28.742	469
28.766	348	28.792	483
28.818	342	28.843	497
28.868	339	28.893	513
28.919	339	28.945	529
28.969	343	28.995	544
29.020	352	29.046	556
29.070	363	29.096	568
29.122	376	29.147	576
29.172	391	29.197	582
29.223	409	29.249	583
29.273	425	29.299	581
29.324	441	29.350	574
29.375	456	29.400	567
29.426	468	29.451	559
29.476	477	29.502	543
29.527	483	29.553	530
29.577	485	29.603	515
29.629	482	29.654	501
29.679	478	29.704	488
29.730	468	29.756	476
29.780	455	29.806	467
29.831	441	29.857	461
29.881	424	29.907	457
29.933	407	29.958	456
29.983	389	30.008	458
30.034	373	30.060	464
30.084	358	30.110	473
30.135	346	30.161	484
30.186	339	30.211	495
30.237	334	30.262	508
30.287	333	30.313	522
30.338	336	30.364	535
30.388	344	30.414	547
30.440	354	30.465	557
30.490	369	30.515	563
30.541	384	30.567	570
30.591	402	30.617	572
30.642	418	30.668	570
30.692	437	30.718	567
30.744	453	30.769	562
30.795	467	30.819	552
30.845	478	30.871	543
30.896	485	30.921	532
30.946	490	30.972	521
30.998	489	31.022	508
31.048	484	31.073	498
31.099	475	31.124	488
31.149	464	31.175	478
31.200	448	31.225	472
31.251	431	31.276	469
31.302	413	31.326	467
31.352	395	31.378	469
31.403	377	31.428	473
31.453	361	31.479	478
31.505	347	31.529	486
31.555	337	31.580	494
31.606	331	31.630	505
31.656	329	31.682	517
31.707	330	31.732	527
31.757	336	31.783	536
31.809	348	31.833	545
31.859	358	31.884	552
31.910	375	31.935	557
31.960	394	31.986	560
32.011	413	32.036	560
32.062	431	32.087	558
32.113	448	32.137	555
32.163	465	32.189	549
32.214	478	32.239	541
32.264	488	32.290	535
32.316	492	32.340	523
32.366	493	32.391	514
32.417	490	32.441	505
32.467	483	32.493	498
32.518	470	32.543	490
32.568	455	32.594	485
32.620	440	32.644	481
32.670	420	32.695	479
32.721	401	32.746	480
32.771	382	32.797	481
32.822	364	32.847	485
32.873	350	32.898	490
32.924	338	32.948	497
32.974	329	33.000	504
33.025	326	33.050	513
33.075	326	33.101	520
33.127	331	33.151	528
33.177	340	33.202	535
33.228	352	33.252	541
33.278	367	33.304	545
33.329	387	33.354	547
33.379	405	33.405	549
33.431	426	33.455	548
33.481	444	33.506	546
33.532	460	33.557	541
33.582	475	33.608	538
33.633	486	33.658	532
33.684	493	33.709	525
33.735	496	33.760	519
33.785	494	33.811	513
33.836	487	33.862	507
33.886	477	33.912	500
33.938	462	33.963	496
33.988	447	34.013	493
34.039	428	34.065	491
34.089	409	34.115	492
34.140	389	34.166	492
34.190	370	34.216	493
34.242	354	34.267	496
34.292	340	34.317	501
34.343	331	34.369	506
34.393	325	34.419	512
34.444	324	34.470	518
34.495	328	34.520	521
34.546	336	34.571	526
34.596	346	34.622	530
34.647	362	34.673	533
34.697	379	34.723	536
34.749	398	34.774	535
34.799	418	34.824	536
34.850	437	34.876	536
34.900	455	34.926	534
34.951	471	34.977	531
35.001	483	35.027	529
35.053	492	35.078	524
35.103	496	35.128	521
35.154	495	35.180	516
35.204	491	35.230	512
35.255	482	35.281	510
35.306	468	35.331	507
35.357	453	35.382	505
35.407	435	35.433	503
35.458	416	35.484	503
35.508	396	35.534	503
35.560	377	35.585	503
35.610	360	35.635	505
35.661	345	35.687	508
35.711	333	35.737	510
35.762	326	35.788	512
35.812	324	35.838	514
35.864	326	35.889	517
35.914	332	35.939	519
35.965	342	35.991	521
36.015	356	36.041	523
36.066	372	36.092	524
36.117	391	36.142	524
36.168	411	36.193	525
36.218	430	36.244	525
36.269	450	36.295	523
36.319	465	36.345	524
36.371	479	36.396	522
36.421	489	36.446	521
36.472	494	36.498	519
36.522	496	36.548	519
36.573	493	36.599	517
36.623	484	36.649	517
36.675	474	36.700	515
36.725	459	36.750	515
36.776	441	36.802	515
36.826	423	36.852	514
36.877	403	36.903	515
36.928	384	36.953	515
36.979	366	37.004	516
37.030	351	37.055	513
37.080	338	37.106	514
37.131	330	37.156	515
37.182	325	37.207	514
37.233	326	37.257	515
37.283	331	37.309	514
37.334	339	37.359	515
37.384	352	37.410	514
37.436	367	37.460	515
37.486	385	37.511	515
37.537	404	37.561	515
37.587	424	37.613	513
37.638	442	37.663	515
37.688	459	37.714	515
37.740	473	37.764	516
37.790	484	37.815	517
37.841	491	37.866	518
37.891	494	37.917	519
37.942	492	37.967	521
37.993	486	38.018	522
38.044	477	38.068	522
38.094	462	38.120	523
38.145	447	38.170	522
38.195	430	38.221	524
38.247	411	38.271	523
38.297	391	38.322	524
38.348	373	38.372	522
38.398	358	38.424	521
38.449	344	38.474	519
38.499	336	38.525	517
38.551	330	38.575	514
38.601	328	38.626	513
38.652	331	38.677	510
38.702	339	38.728	509
38.753	349	38.778	507
38.804	363	38.829	506
38.855	380	38.879	506
38.905	398	38.931	506
38.956	417	38.981	506
39.006	435	39.032	506
39.058	452	39.082	509
39.108	466	39.133	512
39.159	478	39.183	514
39.209	485	39.235	517
39.260	491	39.285	520
39.310	490	39.336	523
39.362	487	39.386	526
39.412	478	39.437	528
39.463	466	39.488	529
39.513	452	39.539	531
39.564	435	39.589	532
39.615	417	39.640	532
39.666	398	39.690	531
39.716	380	39.742	530
39.767	365	39.792	527
39.817	351	39.843	524
39.869	341	39.893	520
39.919	333	39.944	516
39.970	332	39.994	512
40.020	335	40.046	508
40.071	339	40.097	506
40.121	347	40.147	502
40.173	360	40.198	499
40.223	375	40.248	497
40.274	393	40.300	497
40.324	409	40.350	498
40.375	427	40.401	499
40.426	444	40.451	502
40.477	459	40.502	505
40.527	471	40.553	508
40.578	480	40.604	513
40.628	485	40.654	519
40.680	488	40.705	523
40.730	484	40.755	528
40.781	478	40.807	532
40.831	467	40.857	536
40.882	456	40.908	538
40.932	439	40.958	538
40.984	422	41.009	540
41.034	406	41.059	539
41.085	388	41.111	536
41.135	373	41.161	534
41.186	359	41.212	528
41.237	348	41.262	525
41.288	340	41.313	518
41.338	337	41.364	513
41.389	336	41.415	508
41.439	342	41.465	503
41.491	348	41.516	497
41.541	358	41.566	494
41.592	372	41.618	491
41.642	387	41.668	490
41.693	404	41.719	490
41.743	420	41.769	492
41.795	436	41.820	495
41.845	451	41.870	499
41.896	463	41.922	504
41.946	474	41.972	510
41.997	479	42.023	515
42.048	482	42.073	523
42.099	481	42.124	527
42.149	476	42.175	534
42.200	468	42.226	539
42.250	457	42.276	543
42.302	443	42.327	545
42.352	428	42.377	548
42.403	411	42.429	546
42.453	396	42.479	544
42.504	381	42.530	540
42.554	368	42.580	535
42.606	356	42.631	529
42.656	347	42.681	523
42.707	343	42.733	515
42.757	340	42.783	508
42.808	344	42.834	501
42.859	349	42.884	495
42.910	359	42.935	491
42.960	371	42.986	486
43.011	384	43.037	484
43.061	399	43.087	484
43.113	414	43.138	484
43.163	429	43.188	487
43.214	444	43.240	491
43.264	455	43.290	498
43.315	466	43.341	504
43.366	473	43.391	512
43.417	477	43.442	520
43.467	476	43.492	528
43.518	473	43.544	535
43.568	465	43.594	543
43.619	457	43.645	547
43.670	445	43.695	552
43.721	432	43.746	553
43.771	416	43.797	553
43.822	402	43.848	551
43.872	387	43.898	547
43.924	375	43.949	542
43.974	363	43.999	535
44.025	356	44.051	527
44.075	350	44.101	519
44.126	348	44.152	510
44.177	349	44.202	503
44.228	353	44.253	495
44.278	360	44.303	488
44.329	370	44.355	482
44.379	382	44.405	479
