#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	586	0.051	601
0.076	539	0.102	556
0.127	483	0.153	508
0.177	422	0.203	459
0.229	362	0.254	414
0.280	303	0.304	373
0.330	249	0.356	338
0.381	204	0.406	312
0.431	169	0.457	296
0.482	143	0.507	293
0.533	132	0.558	299
0.584	139	0.608	313
0.634	159	0.660	340
0.685	187	0.710	372
0.735	231	0.761	412
0.787	279	0.811	456
0.837	335	0.862	503
0.888	395	0.913	550
0.938	454	0.964	594
0.989	512	1.014	633
1.040	565	1.065	667
1.091	607	1.115	691
1.141	641	1.167	706
1.192	664	1.217	710
1.242	671	1.268	705
1.293	665	1.318	693
1.344	646	1.369	669
1.395	616	1.419	638
1.445	575	1.471	598
1.496	525	1.521	555
1.546	471	1.572	510
1.598	411	1.622	468
1.648	350	1.673	422
1.699	294	1.724	383
1.749	241	1.775	350
1.800	202	1.825	325
1.851	166	1.876	309
1.902	144	1.926	303
1.952	135	1.978	308
2.003	143	2.028	321
2.053	162	2.079	344
2.104	193	2.129	375
2.155	236	2.180	408
2.206	287	2.230	452
2.256	342	2.282	497
2.307	401	2.332	544
2.357	462	2.383	587
2.409	517	2.433	624
2.459	567	2.484	657
2.510	611	2.535	681
2.560	642	2.586	697
2.611	661	2.636	702
2.662	664	2.687	699
2.713	656	2.737	689
2.763	636	2.789	666
2.814	606	2.839	638
2.864	563	2.890	602
2.916	513	2.940	560
2.966	456	2.991	515
3.017	397	3.042	470
3.067	339	3.093	430
3.118	286	3.144	391
3.168	236	3.194	358
3.220	197	3.245	333
3.270	164	3.295	317
3.321	146	3.347	311
3.371	142	3.397	314
3.422	151	3.448	324
3.473	170	3.498	348
3.524	204	3.549	379
3.574	249	3.600	416
3.625	298	3.651	452
3.675	355	3.701	495
3.727	412	3.752	539
3.777	469	3.802	580
3.828	523	3.853	617
3.878	574	3.904	649
3.929	609	3.955	673
3.979	639	4.005	689
4.031	656	4.056	694
4.081	657	4.106	693
4.132	645	4.158	681
4.182	625	4.208	663
4.233	592	4.259	636
4.284	548	4.309	601
4.335	498	4.360	561
4.385	445	4.411	521
4.436	385	4.462	478
4.486	333	4.512	437
4.538	277	4.563	399
4.588	234	4.613	367
4.639	194	4.664	342
4.689	167	4.715	324
4.740	153	4.766	320
4.790	151	4.816	319
4.842	162	4.867	330
4.892	184	4.917	346
4.943	219	4.969	377
4.993	261	5.019	410
5.044	311	5.070	450
5.095	367	5.120	491
5.146	420	5.171	533
5.196	479	5.222	574
5.247	528	5.273	610
5.297	573	5.323	643
5.349	609	5.374	667
5.399	637	5.424	683
5.450	647	5.476	692
5.500	647	5.526	691
5.551	634	5.577	681
5.601	611	5.627	663
5.653	578	5.678	636
5.703	537	5.728	602
5.754	488	5.780	564
5.804	431	5.830	523
5.855	379	5.881	482
5.906	323	5.931	441
5.957	274	5.982	404
6.007	231	6.033	372
6.058	194	6.084	347
6.108	172	6.134	328
6.160	160	6.185	321
6.210	161	6.235	321
6.261	174	6.287	332
6.311	196	6.337	350
6.362	231	6.388	377
6.412	274	6.438	410
6.464	323	6.489	447
6.514	376	6.539	487
6.565	430	6.591	530
6.615	485	6.641	569
6.666	532	6.692	607
6.717	574	6.742	638
6.768	607	6.793	662
6.818	629	6.844	681
6.869	639	6.895	689
6.919	636	6.945	688
6.971	622	6.996	679
7.021	599	7.046	661
7.072	564	7.098	635
7.122	522	7.148	603
7.173	476	7.199	567
7.223	422	7.249	528
7.275	370	7.300	486
7.325	317	7.350	445
7.376	272	7.402	408
7.426	231	7.452	379
7.477	201	7.503	350
7.528	179	7.553	331
7.579	170	7.604	323
7.629	173	7.655	323
7.680	186	7.706	331
7.730	209	7.756	351
7.782	244	7.807	376
7.832	288	7.857	408
7.883	333	7.909	444
7.933	386	7.959	484
7.984	437	8.010	525
8.034	488	8.060	566
8.086	533	8.111	606
8.136	572	8.161	637
8.187	605	8.213	661
8.237	622	8.263	679
8.288	629	8.314	687
8.339	624	8.364	687
8.390	608	8.415	679
8.440	587	8.466	661
8.491	552	8.517	636
8.541	509	8.567	605
8.593	462	8.618	569
8.643	412	8.668	529
8.694	361	8.720	485
8.744	313	8.770	444
8.795	270	8.821	411
8.845	235	8.871	378
8.897	205	8.922	350
8.947	187	8.972	332
8.998	183	9.024	323
9.048	188	9.074	324
9.099	200	9.125	331
9.151	226	9.175	351
9.201	260	9.226	376
9.252	301	9.277	407
9.302	347	9.328	445
9.353	395	9.378	484
9.404	444	9.429	522
9.455	491	9.479	565
9.505	534	9.531	602
