#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	468	0.051	616
0.076	469	0.102	613
0.126	468	0.152	614
0.178	471	0.203	600
0.228	470	0.253	583
0.279	468	0.305	558
0.329	469	0.355	528
0.380	469	0.406	493
0.431	470	0.456	458
0.482	469	0.507	421
0.532	469	0.558	387
0.583	470	0.609	356
0.633	470	0.659	329
0.685	470	0.710	309
0.735	470	0.760	297
0.786	469	0.812	293
0.836	470	0.862	294
0.887	469	0.913	307
0.937	469	0.963	326
0.989	469	1.014	352
1.039	468	1.064	382
1.090	467	1.116	416
1.140	468	1.166	452
1.191	469	1.217	488
1.242	469	1.267	522
1.293	469	1.318	552
1.343	469	1.369	577
1.394	469	1.420	596
1.444	468	1.470	607
1.496	469	1.521	612
1.546	470	1.571	608
1.597	470	1.623	595
1.647	470	1.673	577
1.698	470	1.724	552
1.748	470	1.774	523
1.800	470	1.825	489
1.850	470	1.875	453
1.901	469	1.927	419
1.951	470	1.977	386
2.002	469	2.028	356
2.054	470	2.078	331
2.104	470	2.129	313
2.155	468	2.180	300
2.205	469	2.231	298
2.256	469	2.281	301
2.307	468	2.332	313
2.358	469	2.382	333
2.408	469	2.434	357
2.459	469	2.484	386
2.509	470	2.535	420
2.560	468	2.585	456
2.611	470	2.636	490
2.662	469	2.686	522
2.712	470	2.738	552
2.763	470	2.788	576
2.813	471	2.839	593
2.865	470	2.889	604
2.915	470	2.940	606
2.966	470	2.991	604
3.016	469	3.042	591
3.067	469	3.092	573
3.118	470	3.143	546
3.169	470	3.193	518
3.219	470	3.245	484
3.270	469	3.295	450
3.320	468	3.346	416
3.372	470	3.396	384
3.422	468	3.447	355
3.473	469	3.497	331
3.523	469	3.549	313
3.574	469	3.599	304
3.624	468	3.650	301
3.676	468	3.700	306
3.726	468	3.751	319
3.777	469	3.802	338
3.827	468	3.853	363
3.878	469	3.903	392
3.929	470	3.954	426
3.980	468	4.004	460
4.030	469	4.056	493
4.081	469	4.106	524
4.131	469	4.157	551
4.183	469	4.207	575
4.233	471	4.258	592
4.284	470	4.308	602
4.334	470	4.360	603
4.385	470	4.410	598
4.435	469	4.461	584
4.487	469	4.511	566
4.537	469	4.562	541
4.588	469	4.613	512
4.638	469	4.664	479
4.689	470	4.714	446
4.740	468	4.765	413
4.791	469	4.815	382
4.841	467	4.867	354
4.892	469	4.917	333
4.942	470	4.968	317
4.994	469	5.018	307
5.044	469	5.069	304
5.095	469	5.119	312
5.145	469	5.171	325
5.196	470	5.222	341
5.246	469	5.272	368
5.298	469	5.323	398
5.348	470	5.373	430
5.399	468	5.425	463
5.449	471	5.475	496
5.500	469	5.526	525
5.551	470	5.576	553
5.602	470	5.627	575
5.652	471	5.678	589
5.703	469	5.729	598
5.753	470	5.779	599
5.805	470	5.830	593
5.855	470	5.880	579
5.906	468	5.932	563
5.956	469	5.982	537
6.007	469	6.033	507
6.057	469	6.083	477
6.109	467	6.134	443
6.159	469	6.184	411
6.210	470	6.236	381
6.260	468	6.286	354
6.311	469	6.337	334
6.362	469	6.387	319
6.413	469	6.438	309
6.463	470	6.489	310
6.514	470	6.540	315
6.564	469	6.590	329
6.616	470	6.641	348
6.666	469	6.691	373
6.717	470	6.743	402
6.767	469	6.793	434
6.818	469	6.844	466
6.868	471	6.894	499
6.920	468	6.945	527
6.970	470	6.995	554
7.021	469	7.047	572
7.071	470	7.097	587
7.122	469	7.148	595
7.173	470	7.198	595
7.224	469	7.249	589
7.274	470	7.300	575
7.325	469	7.351	556
7.375	469	7.401	531
7.427	469	7.452	503
7.477	468	7.502	472
7.528	469	7.554	440
7.578	469	7.604	409
7.629	471	7.655	380
7.679	469	7.705	354
7.731	469	7.756	335
7.781	469	7.806	321
7.832	470	7.858	313
7.882	469	7.908	312
7.933	469	7.959	320
7.984	469	8.009	334
8.035	469	8.060	353
8.085	469	8.111	379
8.136	469	8.162	406
8.186	469	8.212	438
8.238	468	8.263	469
8.288	468	8.313	500
8.339	468	8.365	528
8.389	469	8.415	553
8.440	469	8.466	571
8.490	469	8.516	585
8.542	469	8.567	592
8.592	470	8.617	592
8.643	469	8.669	584
8.693	470	8.719	569
8.744	469	8.770	553
8.795	470	8.820	527
8.846	470	8.871	498
8.896	469	8.922	467
8.947	470	8.973	437
8.997	470	9.023	407
9.049	470	9.074	379
9.099	469	9.124	355
9.150	470	9.176	336
9.200	469	9.226	323
9.251	470	9.277	318
9.301	469	9.327	318
9.353	469	9.378	325
9.403	468	9.428	339
9.454	469	9.480	357
9.504	468	9.530	383
9.555	469	9.581	411
9.606	469	9.631	442
9.657	469	9.682	472
9.708	470	9.733	502
9.758	468	9.784	530
9.809	471	9.834	552
9.860	471	9.885	571
9.911	469	9.935	583
9.961	469	9.987	588
10.012	470	10.037	589
10.062	470	10.088	579
10.114	469	10.138	565
10.164	470	10.189	547
10.215	469	10.239	521
10.265	469	10.291	494
10.316	469	10.341	463
10.366	470	10.392	434
10.418	470	10.442	406
10.468	470	10.493	378
10.519	468	10.544	356
10.569	469	10.595	338
10.620	469	10.645	325
10.671	469	10.696	320
10.722	469	10.746	321
10.772	469	10.798	330
10.823	469	10.848	345
10.873	469	10.899	362
10.925	469	10.949	389
10.975	469	11.000	415
11.026	469	11.050	445
11.076	468	11.102	474
11.127	469	11.152	504
11.177	469	11.203	530
11.229	470	11.253	552
11.279	470	11.304	568
11.330	469	11.355	579
11.380	469	11.406	585
11.431	470	11.456	584
11.482	470	11.507	575
11.533	469	11.557	562
