#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	445	0.050	557
0.075	393	0.101	553
0.126	341	0.151	553
0.177	293	0.202	552
0.228	255	0.252	550
0.278	223	0.304	547
0.329	203	0.354	545
0.379	196	0.405	541
0.431	202	0.455	539
0.481	215	0.506	535
0.532	240	0.557	533
0.582	275	0.608	531
0.633	318	0.658	531
0.684	368	0.709	532
0.735	418	0.760	534
0.785	470	0.811	533
0.836	518	0.862	537
0.886	561	0.912	539
0.937	598	0.963	545
0.988	626	1.013	550
1.039	643	1.064	556
1.089	644	1.115	561
1.140	636	1.166	567
1.190	619	1.216	570
1.242	591	1.267	576
1.292	555	1.317	578
1.343	510	1.369	580
1.393	465	1.419	580
1.444	414	1.470	579
1.495	364	1.520	577
1.546	317	1.571	573
1.596	274	1.622	566
1.647	243	1.673	559
1.697	220	1.723	551
1.749	204	1.774	543
1.799	206	1.824	534
1.850	213	1.875	526
1.900	231	1.926	521
1.951	263	1.977	513
2.001	300	2.027	512
2.053	345	2.078	506
2.103	392	2.128	507
2.154	443	2.180	508
2.204	490	2.230	513
2.255	535	2.281	519
2.306	574	2.331	527
2.357	605	2.382	538
2.407	625	2.433	549
2.458	634	2.484	560
2.508	630	2.534	571
2.560	620	2.585	581
2.610	593	2.635	590
2.661	562	2.686	597
2.711	521	2.737	601
2.762	477	2.788	604
2.812	430	2.838	604
2.864	381	2.889	600
2.914	334	2.939	593
2.965	293	2.991	587
3.015	258	3.041	575
3.066	232	3.092	563
3.117	214	3.142	550
3.168	208	3.193	535
3.218	213	3.244	521
3.269	225	3.295	510
3.319	252	3.345	499
3.371	285	3.396	491
3.421	324	3.446	484
3.472	369	3.497	485
3.522	416	3.548	486
3.573	462	3.599	492
3.623	506	3.649	499
3.675	545	3.700	513
3.725	579	3.750	523
3.776	602	3.802	538
3.826	616	3.852	555
3.877	617	3.903	569
3.928	612	3.953	586
3.979	592	4.004	599
4.029	565	4.055	611
4.080	531	4.106	619
4.130	490	4.156	624
4.182	444	4.207	626
4.232	397	4.257	623
4.283	352	4.309	616
4.333	310	4.359	605
4.384	273	4.410	592
4.434	244	4.460	576
4.486	224	4.511	559
4.536	213	4.561	540
4.587	214	4.613	522
4.637	224	4.663	505
4.688	244	4.714	489
4.739	274	4.764	477
4.790	308	4.815	470
4.840	348	4.866	463
4.891	391	4.917	463
4.941	437	4.967	469
4.993	479	5.018	478
5.043	520	5.068	493
5.094	551	5.120	506
5.144	578	5.170	525
5.195	594	5.221	545
5.245	600	5.271	565
5.297	598	5.322	588
5.347	585	5.372	605
5.398	562	5.424	622
5.448	534	5.474	634
5.499	498	5.525	644
5.550	458	5.575	643
5.601	414	5.626	644
5.651	373	5.677	637
5.702	331	5.728	625
5.752	295	5.778	609
5.804	265	5.829	594
5.854	243	5.879	571
5.905	230	5.931	552
5.955	226	5.981	523
6.006	231	6.032	503
6.056	246	6.082	484
6.108	268	6.133	467
6.158	299	6.183	456
6.209	335	6.235	448
6.259	377	6.285	445
6.310	416	6.336	449
6.361	456	6.386	457
6.412	493	6.437	469
6.462	526	6.488	484
6.513	553	6.539	508
6.563	572	6.589	532
6.615	580	6.640	556
6.665	581	6.690	582
6.716	574	6.742	606
6.766	557	6.792	625
6.817	535	6.843	643
6.867	502	6.893	655
6.919	466	6.944	661
6.969	429	6.994	662
