#Creator: pendulumEventBuffer
#Creation time: Thu Mar 23 10:52:05 2023
#Time	Period	Transit time
#[s]	[s]	[s]
2.247209	2.172293	0.011614
3.333288	2.172059	0.011648
4.419268	2.171864	0.011680
5.505152	2.171663	0.011712
6.590931	2.171462	0.011746
7.676614	2.171266	0.011780
8.762197	2.171063	0.011814
9.847677	2.170873	0.011846
10.933070	2.170642	0.011880
12.018319	2.170471	0.011910
13.103541	2.170251	0.011942
14.188570	2.169959	0.011976
15.273500	2.169908	0.012004
16.358478	2.169773	0.012040
17.443273	2.169487	0.012078
18.527965	2.169301	0.012110
19.612574	2.169121	0.012144
20.697086	2.168925	0.012180
21.781499	2.168738	0.012214
22.865824	2.168554	0.012248
23.950053	2.168388	0.012282
25.034212	2.168242	0.012316
26.118295	2.168081	0.012350
27.202293	2.167905	0.012386
28.286200	2.167733	0.012420
29.370026	2.167567	0.012452
30.453767	2.167388	0.012486
31.537414	2.167215	0.012520
32.620982	2.167037	0.012560
33.704451	2.166850	0.012594
34.787832	2.166672	0.012620
35.871123	2.166507	0.012654
36.954339	2.166349	0.012690
38.037472	2.166184	0.012724
39.120523	2.166016	0.012750
40.203488	2.165855	0.012784
41.286378	2.165689	0.012828
42.369177	2.165532	0.012862
43.451910	2.165391	0.012896
44.534568	2.165237	0.012932
45.617147	2.165084	0.012966
46.699652	2.164943	0.013000
47.782090	2.164789	0.013036
48.864441	2.164622	0.013070
49.946712	2.164468	0.013104
51.028909	2.164329	0.013142
52.111041	2.164173	0.013174
53.193082	2.164002	0.013216
54.275043	2.163825	0.013258
55.356907	2.163665	0.013282
56.438708	2.163534	0.013312
57.520441	2.163389	0.013346
58.602097	2.163265	0.013382
59.683706	2.163147	0.013420
60.765244	2.162993	0.013456
61.846699	2.162836	0.013490
62.928080	2.162681	0.013524
64.009380	2.162534	0.013560
65.090614	2.162381	0.013592
66.171761	2.162227	0.013622
67.252841	2.162084	0.013662
68.333845	2.161949	0.013702
69.414790	2.161838	0.013736
70.495683	2.161720	0.013774
71.576510	2.161605	0.013812
72.657288	2.161474	0.013840
73.737984	2.161343	0.013876
74.818631	2.161224	0.013918
75.899208	2.161083	0.013952
76.979714	2.160971	0.013996
78.060179	2.160816	0.014034
79.140530	2.160674	0.014060
80.220853	2.160545	0.014094
81.301075	2.160343	0.014134
82.381196	2.160199	0.014168
83.461274	2.160118	0.014208
84.541314	2.160017	0.014252
85.621291	2.159893	0.014286
86.701207	2.159792	0.014322
87.781083	2.159670	0.014358
88.860877	2.159499	0.014390
89.940582	2.159349	0.014424
91.020226	2.159225	0.014464
92.099807	2.159115	0.014506
93.179341	2.159005	0.014546
94.258812	2.158883	0.014580
95.338224	2.158802	0.014620
96.417614	2.158690	0.014660
97.496914	2.158515	0.014696
98.576129	2.158387	0.014738
99.655301	2.158294	0.014778
100.734423	2.158207	0.014818
101.813508	2.158092	0.014852
102.892515	2.157943	0.014890
103.971451	2.157805	0.014930
105.050320	2.157683	0.014960
106.129134	2.157581	0.014988
107.207901	2.157512	0.015030
108.286646	2.157458	0.015080
109.365359	2.157357	0.015122
110.444003	2.157271	0.015158
111.522630	2.157164	0.015196
112.601167	2.157016	0.015238
113.679646	2.156976	0.015276
114.758143	2.156780	0.015314
115.836426	2.156683	0.015340
116.914826	2.156638	0.015376
117.993064	2.156465	0.015428
119.071291	2.156437	0.015470
120.149501	2.156372	0.015510
121.227663	2.156275	0.015550
122.305776	2.156208	0.015584
123.383871	2.156138	0.015622
124.461914	2.156044	0.015664
125.539915	2.155944	0.015706
126.617858	2.155873	0.015740
127.695788	2.155801	0.015772
128.773659	2.155659	0.015814
129.851447	2.155667	0.015858
130.929326	2.155523	0.015908
