#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:56:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	493	0.051	501
0.076	451	0.101	542
0.127	408	0.153	586
0.177	367	0.203	628
0.228	325	0.254	666
0.279	291	0.304	696
0.330	265	0.355	719
0.380	244	0.406	732
0.431	233	0.457	734
0.481	234	0.507	729
0.533	242	0.558	713
0.583	259	0.608	689
0.634	286	0.659	658
0.685	318	0.710	619
0.735	356	0.761	576
0.786	398	0.811	534
0.837	440	0.862	491
0.888	481	0.912	453
0.938	513	0.964	420
0.989	548	1.014	393
1.039	572	1.065	376
1.091	585	1.115	368
1.141	588	1.166	369
1.192	585	1.217	382
1.242	571	1.268	402
1.293	549	1.318	431
1.344	521	1.369	467
1.395	484	1.419	507
1.445	446	1.470	549
1.496	406	1.521	591
1.546	366	1.572	631
1.597	328	1.622	666
1.648	295	1.673	697
1.699	267	1.723	717
1.749	249	1.775	729
1.800	241	1.825	730
1.850	240	1.876	723
1.902	249	1.926	707
1.952	267	1.977	680
2.003	293	2.028	649
2.053	324	2.079	613
2.104	361	2.129	576
2.155	401	2.180	531
2.206	442	2.230	490
2.256	481	2.281	453
2.307	515	2.332	421
2.357	545	2.383	395
2.408	568	2.433	379
2.459	580	2.484	373
2.510	584	2.534	375
2.560	578	2.586	387
2.611	565	2.636	408
2.661	542	2.687	438
2.713	515	2.737	474
2.763	479	2.788	510
2.814	442	2.839	552
2.864	401	2.890	595
2.915	363	2.940	633
2.966	326	2.991	664
3.017	295	3.042	696
3.067	269	3.093	716
3.118	256	3.144	725
3.168	245	3.194	725
3.219	247	3.245	719
3.270	258	3.295	701
3.321	275	3.346	677
3.371	300	3.397	645
3.422	332	3.448	608
3.472	368	3.498	568
3.524	406	3.549	529
3.574	445	3.599	490
3.625	482	3.651	450
3.675	515	3.701	421
3.726	543	3.752	397
3.777	565	3.802	381
3.828	575	3.853	376
3.878	578	3.904	380
3.929	572	3.955	393
3.979	559	4.005	415
4.030	536	4.056	443
4.081	506	4.106	479
4.132	473	4.157	517
4.182	436	4.208	557
4.233	396	4.259	599
4.283	359	4.309	637
4.335	325	4.360	669
4.385	296	4.410	692
4.436	272	4.462	711
4.486	258	4.512	721
4.537	253	4.563	720
4.588	253	4.613	713
4.639	265	4.664	696
4.689	280	4.715	671
4.740	308	4.766	640
4.790	338	4.816	603
4.841	377	4.867	564
4.892	413	4.917	524
4.943	449	4.968	487
4.993	486	5.019	450
5.044	516	5.070	419
5.094	544	5.120	398
5.146	560	5.171	385
5.196	569	5.221	382
5.247	571	5.273	385
5.297	565	5.323	398
5.348	548	5.374	420
5.399	527	5.424	449
5.450	497	5.475	483
5.500	465	5.526	521
5.551	431	5.577	560
5.601	392	5.627	599
5.653	356	5.678	636
5.703	325	5.728	667
5.754	297	5.779	691
5.804	275	5.830	708
5.855	260	5.881	719
5.905	258	5.931	716
5.957	259	5.982	709
6.007	270	6.032	690
6.058	288	6.084	665
6.108	315	6.134	635
6.159	346	6.185	598
6.210	381	6.235	561
6.261	415	6.286	521
6.311	453	6.337	483
6.362	486	6.388	450
6.412	516	6.438	422
6.464	541	6.489	402
6.514	557	6.539	388
6.565	565	6.590	385
6.615	566	6.641	391
6.666	560	6.692	405
6.716	543	6.742	423
6.768	520	6.793	454
6.818	492	6.843	487
6.869	460	6.895	526
6.919	426	6.945	565
6.970	388	6.996	601
7.021	353	7.046	637
7.072	323	7.097	667
7.122	297	7.148	692
7.173	277	7.199	705
7.223	265	7.249	711
7.275	262	7.300	711
7.325	265	7.350	702
7.376	277	7.401	685
7.426	297	7.452	658
7.477	322	7.503	629
7.527	352	7.553	594
7.579	386	7.604	556
7.629	422	7.654	519
7.680	458	7.706	483
7.730	487	7.756	450
7.781	516	7.807	426
7.832	539	7.857	404
7.883	555	7.908	393
7.933	560	7.959	388
7.984	560	8.010	393
8.034	552	8.060	408
8.086	535	8.111	431
8.136	514	8.161	459
8.187	484	8.213	492
8.237	451	8.263	529
8.288	417	8.314	566
8.338	382	8.364	603
8.390	351	8.415	637
8.440	319	8.465	666
8.491	296	8.517	689
8.541	278	8.567	703
8.592	268	8.618	710
8.643	265	8.668	708
8.694	270	8.719	698
8.744	283	8.770	678
8.795	303	8.821	653
8.845	328	8.871	623
8.897	359	8.922	590
8.947	392	8.972	553
8.998	424	9.024	517
9.048	459	9.074	481
9.099	492	9.125	450
9.149	516	9.175	425
9.201	538	9.226	406
9.251	551	9.276	395
9.302	557	9.328	395
9.352	556	9.378	401
9.403	545	9.429	415
9.454	529	9.479	438
9.505	504	9.530	464
9.555	477	9.581	498
9.606	446	9.632	533
9.656	412	9.682	569
9.708	378	9.733	605
9.758	346	9.783	637
9.809	317	9.835	666
9.859	297	9.885	686
9.910	278	9.936	700
9.960	272	9.986	705
10.012	266	10.037	704
10.062	275	10.087	692
10.113	289	10.139	674
10.163	309	10.189	649
10.214	333	10.240	620
10.265	363	10.290	592
10.316	396	10.341	550
10.366	430	10.392	513
10.417	462	10.443	481
10.467	490	10.493	451
10.519	518	10.544	426
10.569	537	10.594	408
10.620	549	10.646	400
10.670	554	10.696	398
10.721	550	10.747	404
10.771	539	10.797	420
10.823	522	10.848	442
10.874	498	10.898	467
10.924	470	10.950	503
10.975	439	11.000	537
11.025	407	11.051	570
11.077	373	11.101	606
11.127	344	11.152	637
11.178	316	11.203	664
11.228	295	11.254	684
11.279	279	11.304	697
11.330	272	11.355	701
11.381	274	11.405	697
11.431	281	11.457	688
11.482	293	11.507	669
11.532	313	11.558	645
11.584	338	11.608	615
11.634	369	11.659	583
11.685	401	11.709	546
11.735	434	11.761	513
11.786	465	11.811	482
11.836	493	11.862	452
11.888	517	11.912	429
11.938	534	11.963	411
11.989	543	12.014	404
12.039	549	12.065	403
12.090	546	12.115	410
12.141	533	12.166	426
12.192	516	12.216	447
12.242	493	12.268	474
12.293	464	12.318	506
12.343	433	12.369	541
12.395	401	12.419	572
12.445	369	12.470	609
12.496	341	12.520	637
12.546	315	12.572	663
12.597	295	12.622	680
12.647	282	12.673	692
12.699	276	12.723	696
12.749	275	12.774	692
12.800	282	12.825	681
12.850	298	12.876	663
12.901	318	12.926	639
12.952	345	12.977	609
13.003	375	13.027	579
13.053	407	13.079	547
13.104	438	13.129	511
13.154	468	13.180	477
13.206	495	13.230	453
13.256	517	13.281	431
13.307	533	13.331	418
13.357	543	13.383	408
13.408	545	13.433	409
