#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 09:51:21 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	492	0.051	444
0.076	490	0.102	509
0.127	492	0.152	568
0.178	492	0.203	624
0.229	492	0.253	670
0.279	491	0.305	702
0.330	493	0.355	720
0.380	492	0.406	721
0.432	493	0.457	705
0.482	493	0.507	683
0.533	493	0.559	656
0.583	494	0.609	611
0.634	493	0.660	565
0.684	494	0.710	511
0.736	493	0.761	450
0.786	493	0.811	394
0.837	494	0.863	343
0.887	491	0.913	299
0.938	494	0.964	255
0.989	494	1.014	221
1.040	490	1.065	200
1.090	492	1.116	194
1.141	492	1.167	214
1.191	493	1.217	246
1.243	494	1.268	280
1.293	493	1.318	317
1.344	494	1.370	360
1.394	493	1.420	400
1.445	494	1.471	450
1.495	491	1.521	502
1.547	494	1.572	553
1.597	493	1.622	598
1.648	493	1.674	635
1.698	493	1.724	662
1.749	493	1.775	676
1.800	493	1.825	677
1.851	493	1.876	661
1.901	494	1.927	640
1.952	493	1.978	616
2.002	493	2.028	579
2.054	493	2.079	542
2.104	493	2.129	494
2.155	495	2.181	443
2.205	493	2.231	396
2.256	494	2.282	351
2.306	492	2.332	309
2.358	494	2.383	271
2.408	492	2.433	242
2.459	493	2.485	226
2.509	493	2.535	226
2.560	492	2.586	242
2.611	493	2.636	258
2.662	493	2.687	281
2.712	493	2.738	312
2.763	492	2.789	353
2.813	496	2.839	403
2.865	493	2.890	446
2.915	494	2.940	493
2.966	491	2.992	538
3.016	490	3.042	575
3.067	493	3.093	605
3.117	493	3.143	628
3.169	493	3.194	641
3.219	494	3.244	641
3.270	492	3.296	633
3.320	493	3.346	617
3.371	493	3.397	598
3.422	494	3.447	569
3.473	493	3.498	535
3.523	493	3.549	493
3.574	493	3.600	445
3.624	492	3.650	403
3.676	491	3.701	364
3.726	493	3.751	327
3.777	494	3.803	295
3.827	492	3.853	271
3.878	493	3.904	260
3.928	494	3.954	256
3.980	493	4.005	265
4.030	492	4.055	281
4.081	495	4.107	303
4.131	494	4.157	329
4.182	494	4.208	361
4.233	492	4.258	399
4.284	494	4.309	440
4.335	493	4.360	483
4.385	493	4.411	522
4.436	493	4.461	557
4.487	494	4.512	581
4.538	494	4.562	601
4.588	493	4.614	612
4.639	493	4.664	615
4.689	493	4.715	608
4.741	494	4.765	598
4.791	493	4.816	578
4.842	493	4.866	554
4.892	493	4.918	524
4.943	493	4.968	486
4.993	494	5.019	451
5.045	493	5.069	413
5.095	493	5.120	378
5.146	493	5.171	344
5.196	494	5.222	318
5.247	493	5.272	298
5.298	493	5.323	284
5.349	493	5.373	282
5.399	493	5.425	285
5.450	496	5.475	298
5.500	492	5.526	316
5.552	492	5.576	338
5.602	494	5.627	367
5.653	492	5.677	399
5.703	493	5.729	433
5.754	493	5.779	470
5.804	493	5.830	504
5.856	493	5.880	536
