#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 30 11:16:27 2023
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	469	0.052	255
0.077	468	0.102	258
0.127	471	0.153	256
0.179	468	0.203	260
0.229	468	0.254	262
0.280	470	0.305	262
0.330	470	0.356	272
0.381	470	0.406	293
0.432	471	0.457	322
0.483	469	0.507	363
0.533	470	0.559	410
0.584	470	0.609	463
0.634	470	0.660	518
0.686	470	0.710	571
0.736	469	0.761	621
0.787	470	0.811	666
0.837	470	0.863	702
0.888	469	0.913	728
0.938	471	0.964	742
0.990	469	1.014	742
1.040	471	1.065	735
1.091	470	1.116	715
1.141	470	1.167	685
1.192	470	1.218	645
1.243	470	1.268	600
1.294	471	1.319	546
1.344	470	1.370	495
1.395	469	1.421	441
1.445	470	1.471	393
1.497	470	1.522	348
1.547	470	1.572	313
1.598	469	1.623	286
1.648	469	1.674	272
1.699	470	1.725	271
1.749	470	1.775	282
1.801	470	1.826	301
1.851	470	1.876	332
1.902	470	1.928	372
1.952	468	1.978	418
2.003	470	2.029	470
2.054	470	2.079	519
2.105	470	2.130	574
2.155	470	2.181	620
2.206	470	2.232	662
2.256	471	2.282	697
2.308	469	2.333	722
2.358	471	2.383	735
2.409	470	2.434	735
2.459	469	2.485	726
2.510	469	2.536	707
2.560	470	2.586	677
2.612	470	2.637	639
2.662	470	2.687	594
2.713	472	2.739	542
2.763	471	2.789	492
2.814	472	2.840	439
2.865	470	2.890	393
2.916	470	2.941	353
2.966	470	2.992	316
3.017	471	3.043	291
3.067	471	3.093	278
3.119	470	3.144	277
3.169	470	3.194	289
3.220	469	3.246	308
3.270	472	3.296	338
3.321	470	3.347	379
3.371	471	3.397	423
3.423	470	3.448	474
3.473	469	3.498	527
3.524	470	3.550	572
3.574	471	3.600	623
3.625	470	3.651	664
3.676	470	3.701	696
3.727	470	3.752	718
3.777	470	3.803	731
3.828	470	3.854	730
3.878	471	3.904	720
3.930	471	3.955	701
3.980	469	4.005	669
4.031	468	4.057	631
4.081	470	4.107	586
4.132	470	4.158	537
4.182	470	4.208	487
4.234	470	4.259	436
4.284	470	4.309	392
4.335	472	4.361	348
4.385	468	4.411	320
4.436	469	4.462	295
4.487	470	4.512	284
4.538	470	4.563	284
4.588	469	4.614	295
4.639	470	4.665	316
4.689	470	4.715	347
4.741	469	4.766	385
4.791	471	4.816	431
4.842	471	4.868	478
4.892	469	4.918	528
4.943	470	4.969	577
4.993	470	5.019	621
5.045	470	5.070	660
5.095	470	5.120	692
5.146	470	5.172	714
5.196	470	5.222	725
5.247	467	5.273	725
5.298	470	5.323	714
5.349	467	5.374	693
5.399	469	5.425	663
5.450	471	5.476	626
5.500	470	5.526	581
5.552	470	5.577	533
5.602	470	5.627	483
5.653	470	5.679	438
5.703	470	5.729	390
5.754	470	5.780	352
5.804	470	5.830	320
5.856	470	5.881	297
5.906	471	5.931	282
5.957	469	5.983	288
6.007	468	6.033	299
6.058	472	6.084	320
6.109	469	6.134	351
6.160	470	6.185	390
6.210	473	6.236	434
6.261	470	6.287	481
6.311	470	6.337	533
6.363	469	6.388	578
6.413	470	6.438	621
6.464	470	6.490	660
6.514	470	6.540	688
6.565	469	6.591	710
6.615	469	6.641	720
6.667	470	6.692	717
6.717	473	6.742	706
6.768	471	6.794	685
6.818	469	6.844	655
6.869	471	6.895	617
6.920	470	6.945	575
6.971	471	6.996	525
7.022	469	7.047	479
7.072	469	7.098	432
7.123	470	7.148	388
7.174	469	7.199	352
7.225	470	7.249	320
7.275	469	7.301	300
7.326	470	7.351	292
7.376	469	7.402	293
7.428	471	7.452	306
7.478	469	7.503	326
